Component,Explained Variance Ratio,Cumulative Explained Variance
PC198,0.001043335705607593,0.8423326766412653
PC199,0.0010402117359191133,0.8433728883771844
PC200,0.0010365452303465349,0.844409433607531
PC201,0.0010298040895861398,0.8454392376971172
PC202,0.0010251303351981001,0.8464643680323153
PC203,0.0010192456206270556,0.8474836136529423
PC204,0.0010096590241917027,0.848493272677134
PC205,0.0010066600049292642,0.8494999326820633
PC206,0.0010034970380378308,0.8505034297201011
PC207,0.000995585806850476,0.8514990155269515
PC208,0.000992553997804695,0.8524915695247562
PC209,0.000983808227426411,0.8534753777521826
PC210,0.0009791196646647322,0.8544544974168473
PC211,0.0009760663829538268,0.8554305637998011
PC212,0.0009634072475946659,0.8563939710473958
PC213,0.0009593575017495767,0.8573533285491454
PC214,0.0009533053459666821,0.8583066338951121
PC215,0.0009514079932488397,0.859258041888361
PC216,0.0009435088197816221,0.8602015507081426
PC217,0.0009371084782862912,0.861138659186429
PC218,0.00093222682325774,0.8620708860096867
PC219,0.0009263485835254078,0.8629972345932121
PC220,0.0009233938035437491,0.8639206283967559
PC221,0.0009174924544347478,0.8648381208511906
PC222,0.0009124519536294102,0.86575057280482
PC223,0.0009091599553114164,0.8666597327601314
PC224,0.0008983898491184172,0.8675581226092498
PC225,0.0008951113207235794,0.8684532339299734
PC226,0.0008922547122025808,0.869345488642176
PC227,0.0008817240754326493,0.8702272127176086
PC228,0.0008770068566557447,0.8711042195742643
PC229,0.0008748449990718498,0.8719790645733362
PC230,0.000872178124056101,0.8728512426973923
PC231,0.0008672976376918664,0.8737185403350842
PC232,0.0008600701375412504,0.8745786104726255
PC233,0.0008526586528467774,0.8754312691254723
PC234,0.000845184181504361,0.8762764533069767
PC235,0.0008428763577525433,0.8771193296647293
PC236,0.0008350174941590326,0.8779543471588883
PC237,0.0008304842858403821,0.8787848314447287
PC238,0.0008263830084990399,0.8796112144532278
PC239,0.0008243529946968923,0.8804355674479246
PC240,0.0008188798837106375,0.8812544473316353
PC241,0.0008154758309118432,0.8820699231625471
PC242,0.0008122251292019367,0.882882148291749
PC243,0.0008069251728343037,0.8836890734645834
PC244,0.0007953942164653656,0.8844844676810487
PC245,0.0007904658243430251,0.8852749335053918
PC246,0.0007878368584399367,0.8860627703638317
PC247,0.0007834980626107102,0.8868462684264424
PC248,0.000778474312897891,0.8876247427393403
PC249,0.0007717570467098284,0.8883964997860502
PC250,0.0007655791940698683,0.88916207898012
PC251,0.0007633614250920198,0.889925440405212
PC252,0.0007602154509344073,0.8906856558561465
PC253,0.0007516846683636782,0.8914373405245102
PC254,0.0007438199716952488,0.8921811604962054
PC255,0.0007405508143583794,0.8929217113105639
PC256,0.0007384202639008053,0.8936601315744647
PC257,0.0007380382528961104,0.8943981698273608
PC258,0.0007324875530142786,0.895130657380375
PC259,0.0007268975908351804,0.8958575549712102
PC260,0.0007167976887076333,0.8965743526599178
PC261,0.0007071320293700408,0.8972814846892878
PC262,0.0007027886073482257,0.897984273296636
PC263,0.000697349554989483,0.8986816228516255
